trade_id,user_id,market_id,contract_type,price,quantity,timestamp
62,104,6,YES,0.42,23,2025-11-17T17:52:03.593593
63,16,7,NO,0.16,6,2025-11-17T05:00:03.593593
64,252,6,NO,0.2,20,2025-11-18T09:04:03.593593
65,120,4,NO,0.32,16,2025-11-17T19:42:03.593593
66,126,5,YES,0.09,2,2025-11-18T15:50:03.593593
67,74,2,NO,0.74,18,2025-11-19T00:38:03.593593
68,42,5,NO,0.85,23,2025-11-17T17:47:03.593593
69,63,1,NO,0.54,22,2025-11-16T14:34:03.593593
70,79,5,NO,0.06,15,2025-11-16T21:05:03.593593
71,2,9,NO,0.34,16,2025-11-17T14:24:03.593593
72,259,2,YES,0.28,24,2025-11-16T17:52:03.593593
73,106,5,NO,0.93,11,2025-11-18T17:08:03.593593
74,32,6,NO,0.79,8,2025-11-17T14:28:03.593593
75,236,9,YES,0.62,14,2025-11-17T19:29:03.593593
76,50,10,NO,0.79,25,2025-11-18T18:35:03.593593
77,50,3,YES,0.95,16,2025-11-18T07:31:03.593593
78,60,5,YES,0.39,20,2025-11-18T17:00:03.593593
79,199,3,NO,0.16,2,2025-11-19T05:54:03.593593
80,161,9,YES,0.86,2,2025-11-17T23:57:03.593593
81,33,4,NO,0.81,3,2025-11-18T20:39:03.593593
82,92,10,NO,0.54,12,2025-11-17T14:31:03.593593
83,2,7,YES,0.71,18,2025-11-17T08:55:03.593593
84,249,6,NO,0.9,22,2025-11-17T18:22:03.593593
85,130,5,NO,0.18,19,2025-11-17T07:16:03.593593
86,26,5,YES,0.91,13,2025-11-17T00:25:03.593593
87,32,4,NO,0.25,3,2025-11-18T05:50:03.593593
88,5,4,NO,0.56,15,2025-11-17T13:41:03.593593
89,264,4,NO,0.1,3,2025-11-19T05:06:03.593593
90,119,2,NO,0.72,14,2025-11-18T21:49:03.593593
91,204,3,NO,0.42,19,2025-11-18T13:53:03.593593
92,30,4,YES,0.95,7,2025-11-17T03:42:03.593593
93,295,6,NO,0.24,13,2025-11-19T12:25:03.593593
94,61,5,NO,0.31,4,2025-11-18T23:06:03.593593
95,6,6,NO,0.36,19,2025-11-19T07:47:03.593593
96,20,6,YES,0.3,19,2025-11-19T08:49:03.593593
97,155,5,NO,0.77,20,2025-11-18T08:11:03.593593
98,237,9,NO,0.91,3,2025-11-17T03:59:03.593593
99,161,1,YES,0.48,13,2025-11-16T21:08:03.593593
100,46,9,YES,0.27,24,2025-11-17T05:10:03.593593
101,89,6,NO,0.89,16,2025-11-19T08:05:03.593593
102,193,4,NO,0.2,10,2025-11-19T06:52:03.593593
103,257,3,YES,0.84,2,2025-11-17T23:47:03.593593
104,62,6,NO,0.69,8,2025-11-18T20:51:03.593593
105,24,9,NO,0.15,20,2025-11-18T09:49:03.593593
106,149,3,YES,0.8,13,2025-11-18T04:11:03.593593
107,96,2,YES,0.17,10,2025-11-17T11:33:03.593593
108,141,8,YES,0.06,24,2025-11-18T14:34:03.593593
109,1,6,YES,0.5,7,2025-11-18T18:16:03.593593
110,168,10,YES,0.21,4,2025-11-16T22:54:03.593593
111,2,5,YES,0.21,11,2025-11-17T03:05:03.593593
112,101,5,YES,0.64,9,2025-11-19T08:01:03.593593
113,207,1,YES,0.25,18,2025-11-17T04:37:03.593593
114,138,9,YES,0.38,7,2025-11-17T23:56:03.593593
115,14,4,NO,0.46,6,2025-11-17T18:38:03.593593
116,85,2,YES,0.31,17,2025-11-17T19:35:03.593593
117,179,4,NO,0.81,10,2025-11-18T06:22:03.593593
118,59,5,YES,0.18,8,2025-11-17T18:04:03.593593
119,97,8,YES,0.75,12,2025-11-17T16:45:03.593593
120,7,8,YES,0.13,5,2025-11-17T22:17:03.593593
121,50,6,YES,0.87,16,2025-11-18T15:28:03.593593
122,184,9,NO,0.39,25,2025-11-19T02:00:03.593593
123,282,4,YES,0.38,6,2025-11-18T23:33:03.593593
124,281,6,YES,0.25,14,2025-11-16T21:59:03.593593
125,93,8,YES,0.77,8,2025-11-19T08:40:03.593593
126,77,1,NO,0.94,6,2025-11-19T03:31:03.593593
127,142,6,NO,0.25,6,2025-11-19T11:30:03.593593
128,5,8,NO,0.44,19,2025-11-17T02:44:03.593593
129,31,4,YES,0.66,21,2025-11-18T03:10:03.593593
130,231,8,YES,0.38,2,2025-11-19T04:28:03.593593
131,32,6,NO,0.17,7,2025-11-19T09:56:03.593593
132,107,8,NO,0.2,17,2025-11-17T06:47:03.593593
133,90,7,NO,0.35,15,2025-11-16T14:56:03.593593
134,193,1,YES,0.13,24,2025-11-17T15:26:03.593593
135,61,2,NO,0.63,16,2025-11-18T11:03:03.593593
136,140,6,YES,0.94,12,2025-11-17T23:22:03.593593
137,239,8,YES,0.9,3,2025-11-19T10:01:03.593593
138,265,7,YES,0.73,16,2025-11-19T13:48:03.593593
139,162,3,NO,0.81,10,2025-11-18T01:40:03.593593
140,121,7,YES,0.22,6,2025-11-17T00:24:03.593593
141,222,2,YES,0.14,15,2025-11-18T20:07:03.593593
142,10,7,NO,0.55,16,2025-11-18T18:57:03.593593
143,279,9,NO,0.15,23,2025-11-16T23:59:03.593593
144,51,7,YES,0.71,3,2025-11-16T18:29:03.593593
145,207,4,NO,0.65,22,2025-11-16T23:57:03.593593
146,197,3,NO,0.13,8,2025-11-19T08:04:03.593593
147,113,5,YES,0.92,4,2025-11-19T03:32:03.593593
148,142,1,YES,0.78,15,2025-11-17T00:51:03.593593
149,228,7,YES,0.69,5,2025-11-19T12:06:03.593593
150,121,5,YES,0.87,1,2025-11-16T18:07:03.593593
151,155,1,NO,0.36,15,2025-11-16T14:34:03.593593
152,164,4,NO,0.8,2,2025-11-17T22:44:03.593593
153,76,7,YES,0.72,10,2025-11-18T10:47:03.593593
154,16,9,YES,0.84,15,2025-11-17T14:21:03.593593
155,290,1,YES,0.53,13,2025-11-17T04:36:03.593593
156,82,5,YES,0.2,7,2025-11-19T00:59:03.593593
157,83,10,NO,0.84,7,2025-11-18T01:17:03.593593
158,179,7,YES,0.54,4,2025-11-17T07:34:03.593593
159,178,7,NO,0.31,19,2025-11-19T10:19:03.593593
160,231,4,YES,0.86,18,2025-11-18T04:47:03.593593
161,134,10,NO,0.34,23,2025-11-17T00:27:03.593593
162,143,1,NO,0.32,10,2025-11-17T04:05:03.593593
163,167,9,NO,0.88,18,2025-11-17T11:51:03.593593
164,249,4,NO,0.49,19,2025-11-19T10:42:03.593593
165,174,1,YES,0.57,8,2025-11-19T12:33:03.593593
166,62,5,YES,0.78,12,2025-11-16T23:42:03.593593
167,180,2,YES,0.56,22,2025-11-17T04:52:03.593593
168,241,2,YES,0.09,16,2025-11-17T15:24:03.593593
169,201,9,NO,0.92,21,2025-11-17T00:47:03.593593
170,260,3,YES,0.09,3,2025-11-17T00:32:03.593593
171,231,6,YES,0.42,11,2025-11-17T04:12:03.593593
172,7,9,YES,0.59,7,2025-11-18T08:55:03.593593
173,235,10,YES,0.64,17,2025-11-18T18:23:03.593593
174,31,5,YES,0.17,8,2025-11-17T08:27:03.593593
175,150,4,NO,0.78,8,2025-11-19T00:23:03.593593
176,28,7,NO,0.95,6,2025-11-17T05:08:03.593593
177,256,1,NO,0.76,6,2025-11-18T01:40:03.593593
178,104,7,NO,0.62,21,2025-11-19T13:54:03.593593
179,12,6,YES,0.46,10,2025-11-18T18:21:03.593593
180,286,6,YES,0.76,17,2025-11-17T17:30:03.593593
181,38,4,NO,0.94,17,2025-11-17T23:32:03.593593
182,20,9,NO,0.76,14,2025-11-18T12:47:03.593593
183,161,2,NO,0.29,20,2025-11-18T06:00:03.593593
184,152,10,YES,0.14,10,2025-11-18T00:26:03.593593
185,34,10,YES,0.45,14,2025-11-18T07:50:03.593593
186,35,8,YES,0.81,7,2025-11-17T20:41:03.593593
187,230,3,NO,0.21,8,2025-11-17T15:24:03.593593
188,173,9,YES,0.4,24,2025-11-18T10:39:03.593593
189,266,1,NO,0.36,20,2025-11-17T18:03:03.593593
190,258,3,YES,0.84,5,2025-11-19T04:39:03.593593
191,67,3,NO,0.52,25,2025-11-18T17:32:03.593593
192,151,7,YES,0.82,16,2025-11-18T18:42:03.593593
193,58,10,YES,0.48,15,2025-11-19T11:13:03.593593
194,277,3,YES,0.13,6,2025-11-18T13:29:03.593593
195,188,3,NO,0.33,18,2025-11-19T08:19:03.593593
196,251,7,NO,0.67,22,2025-11-17T18:42:03.593593
197,291,8,YES,0.25,8,2025-11-18T05:33:03.593593
198,226,9,NO,0.32,6,2025-11-19T11:33:03.593593
199,12,2,YES,0.26,25,2025-11-17T12:15:03.593593
200,106,4,NO,0.66,13,2025-11-17T09:29:03.593593
201,66,5,YES,0.8,13,2025-11-18T03:07:03.593593
202,3,8,NO,0.16,23,2025-11-18T02:40:03.593593
203,274,4,YES,0.87,17,2025-11-18T11:23:03.593593
204,216,6,NO,0.37,15,2025-11-18T19:43:03.593593
205,109,4,YES,0.74,9,2025-11-18T02:25:03.593593
206,188,10,YES,0.71,19,2025-11-18T09:34:03.593593
207,239,1,YES,0.34,12,2025-11-17T04:16:03.593593
208,68,7,YES,0.39,2,2025-11-17T13:51:03.593593
209,229,7,YES,0.77,6,2025-11-18T07:03:03.593593
210,176,2,YES,0.28,12,2025-11-19T03:31:03.593593
211,247,2,YES,0.85,21,2025-11-18T05:24:03.593593
212,146,9,NO,0.62,6,2025-11-17T08:49:03.593593
213,197,1,YES,0.46,15,2025-11-18T04:03:03.593593
214,286,1,YES,0.95,9,2025-11-18T05:39:03.593593
215,150,2,YES,0.11,3,2025-11-18T04:56:03.593593
216,34,4,YES,0.65,18,2025-11-17T16:13:03.593593
217,291,4,YES,0.67,8,2025-11-17T21:26:03.593593
218,262,1,YES,0.6,11,2025-11-16T17:45:03.593593
219,194,10,NO,0.07,2,2025-11-18T19:58:03.593593
220,252,5,YES,0.27,18,2025-11-19T02:49:03.593593
221,187,8,YES,0.24,16,2025-11-19T02:39:03.593593
222,73,9,NO,0.36,9,2025-11-18T07:37:03.593593
223,228,4,YES,0.46,21,2025-11-18T03:52:03.593593
224,119,2,YES,0.43,17,2025-11-17T13:58:03.593593
225,283,7,NO,0.58,8,2025-11-17T03:08:03.593593
226,74,9,NO,0.35,22,2025-11-18T10:59:03.593593
227,87,7,NO,0.35,12,2025-11-18T07:04:03.593593
228,20,10,YES,0.84,11,2025-11-18T17:34:03.593593
229,83,4,NO,0.06,25,2025-11-17T07:54:03.593593
230,89,5,YES,0.53,2,2025-11-16T17:44:03.593593
231,299,3,NO,0.47,13,2025-11-18T06:05:03.593593
232,168,6,NO,0.22,17,2025-11-18T11:08:03.593593
233,247,9,NO,0.58,8,2025-11-18T07:36:03.593593
234,257,7,YES,0.45,15,2025-11-18T11:23:03.593593
235,95,7,NO,0.32,6,2025-11-18T10:21:03.593593
236,42,6,YES,0.71,19,2025-11-17T20:37:03.593593
237,155,7,YES,0.61,11,2025-11-17T11:58:03.593593
238,52,1,NO,0.58,5,2025-11-16T22:03:03.593593
239,9,4,YES,0.63,1,2025-11-18T06:04:03.593593
240,124,7,NO,0.65,7,2025-11-19T10:34:03.593593
241,179,8,NO,0.2,25,2025-11-18T13:43:03.593593
242,210,6,YES,0.39,12,2025-11-17T10:07:03.593593
243,98,1,NO,0.48,12,2025-11-19T09:23:03.593593
244,268,7,YES,0.47,3,2025-11-19T06:51:03.593593
245,231,6,NO,0.55,10,2025-11-16T23:18:03.593593
246,33,4,YES,0.71,11,2025-11-17T01:38:03.593593
247,177,8,NO,0.92,23,2025-11-17T11:52:03.593593
248,35,2,YES,0.87,13,2025-11-18T05:15:03.593593
249,120,4,NO,0.8,14,2025-11-19T02:58:03.593593
250,79,6,YES,0.69,1,2025-11-18T10:32:03.593593
251,125,9,YES,0.74,12,2025-11-18T09:52:03.593593
252,286,5,NO,0.67,3,2025-11-19T04:57:03.593593
253,203,1,YES,0.2,3,2025-11-18T18:55:03.593593
254,183,6,YES,0.61,16,2025-11-17T05:38:03.593593
255,184,2,NO,0.81,10,2025-11-17T18:39:03.593593
256,21,6,NO,0.72,2,2025-11-19T02:33:03.593593
257,186,7,YES,0.95,25,2025-11-16T17:19:03.593593
258,52,2,YES,0.16,4,2025-11-17T00:30:03.593593
259,154,9,YES,0.21,6,2025-11-18T18:51:03.593593
260,137,8,YES,0.13,8,2025-11-19T10:23:03.593593
261,209,2,NO,0.6,17,2025-11-19T09:33:03.593593
262,191,8,YES,0.88,20,2025-11-17T09:18:03.593593
263,53,4,YES,0.37,3,2025-11-18T11:24:03.593593
264,13,1,NO,0.56,16,2025-11-17T13:02:03.593593
265,105,3,NO,0.48,24,2025-11-17T09:35:03.593593
266,142,5,NO,0.07,14,2025-11-17T18:25:03.593593
267,140,5,NO,0.79,20,2025-11-19T05:59:03.593593
268,82,9,NO,0.62,7,2025-11-17T23:09:03.593593
269,81,2,YES,0.56,20,2025-11-18T12:03:03.593593
270,228,4,NO,0.88,4,2025-11-18T23:56:03.593593
271,299,10,YES,0.69,20,2025-11-18T22:05:03.593593
272,57,5,YES,0.71,25,2025-11-19T13:43:03.593593
273,275,10,NO,0.86,3,2025-11-17T23:27:03.593593
274,226,7,NO,0.74,2,2025-11-18T22:31:03.593593
275,263,6,YES,0.51,17,2025-11-17T23:22:03.593593
276,195,10,YES,0.26,1,2025-11-17T15:04:03.593593
277,70,5,NO,0.48,22,2025-11-17T12:12:03.593593
278,184,8,NO,0.22,14,2025-11-19T00:59:03.593593
279,234,2,YES,0.24,1,2025-11-18T15:39:03.593593
280,267,9,NO,0.49,9,2025-11-17T18:42:03.593593
281,231,4,NO,0.73,19,2025-11-17T15:37:03.593593
282,148,4,YES,0.45,18,2025-11-18T18:36:03.593593
283,212,7,NO,0.76,14,2025-11-18T04:57:03.593593
284,264,10,YES,0.7,25,2025-11-18T06:33:03.593593
285,60,5,YES,0.25,14,2025-11-18T01:20:03.593593
286,124,7,NO,0.86,20,2025-11-17T03:05:03.593593
287,83,5,NO,0.45,20,2025-11-17T03:18:03.593593
288,101,7,NO,0.09,25,2025-11-17T16:37:03.593593
289,50,10,NO,0.31,8,2025-11-18T14:42:03.593593
290,44,4,YES,0.36,11,2025-11-17T12:18:03.593593
291,148,5,YES,0.47,23,2025-11-17T20:59:03.593593
292,69,6,NO,0.7,21,2025-11-17T14:49:03.593593
293,38,7,NO,0.14,1,2025-11-19T01:58:03.593593
294,231,9,YES,0.56,17,2025-11-17T16:45:03.593593
295,82,9,NO,0.09,1,2025-11-18T17:59:03.593593
296,259,4,NO,0.11,14,2025-11-17T18:14:03.593593
297,124,10,NO,0.5,15,2025-11-18T21:17:03.593593
298,92,8,YES,0.63,13,2025-11-18T17:39:03.593593
299,1,4,NO,0.78,5,2025-11-18T18:13:03.593593
300,284,4,NO,0.47,23,2025-11-18T20:59:03.593593
301,29,5,NO,0.11,11,2025-11-18T04:55:03.593593
302,291,1,NO,0.27,15,2025-11-17T06:06:03.593593
303,231,7,NO,0.7,18,2025-11-16T14:05:03.593593
304,58,7,YES,0.45,24,2025-11-19T03:55:03.593593
305,167,9,NO,0.15,5,2025-11-17T02:17:03.593593
306,166,3,YES,0.77,23,2025-11-19T05:33:03.593593
307,227,1,NO,0.92,4,2025-11-17T23:03:03.593593
308,23,1,YES,0.14,3,2025-11-18T11:42:03.593593
309,268,7,YES,0.17,5,2025-11-17T09:52:03.593593
310,215,5,NO,0.47,24,2025-11-16T16:04:03.593593
311,288,6,YES,0.12,15,2025-11-18T19:52:03.593593
312,180,8,NO,0.4,3,2025-11-18T03:45:03.593593
313,207,10,NO,0.6,18,2025-11-17T00:28:03.593593
314,27,1,YES,0.31,10,2025-11-17T02:15:03.593593
315,41,2,NO,0.1,1,2025-11-19T00:27:03.593593
316,35,2,YES,0.26,19,2025-11-19T03:31:03.593593
317,11,6,YES,0.4,22,2025-11-17T13:58:03.593593
318,28,2,YES,0.91,15,2025-11-17T06:38:03.593593
319,114,5,NO,0.72,18,2025-11-18T07:19:03.593593
320,159,4,YES,0.86,23,2025-11-18T15:20:03.593593
321,76,10,YES,0.48,5,2025-11-17T01:16:03.593593
322,242,6,YES,0.17,10,2025-11-18T00:53:03.593593
323,57,10,NO,0.15,10,2025-11-18T06:46:03.593593
324,192,9,NO,0.26,10,2025-11-17T17:22:03.593593
325,103,8,YES,0.61,11,2025-11-19T05:25:03.593593
326,70,5,NO,0.12,11,2025-11-18T06:41:03.593593
327,164,7,NO,0.54,11,2025-11-17T07:04:03.593593
328,228,4,NO,0.78,12,2025-11-18T22:40:03.593593
329,87,10,YES,0.39,10,2025-11-17T11:10:03.593593
330,286,1,NO,0.56,23,2025-11-18T05:13:03.593593
331,232,4,YES,0.57,24,2025-11-19T00:55:03.593593
332,103,10,NO,0.84,12,2025-11-18T21:30:03.593593
333,137,4,NO,0.11,8,2025-11-17T02:12:03.593593
334,94,7,YES,0.9,24,2025-11-17T22:09:03.593593
335,233,10,NO,0.67,3,2025-11-18T12:49:03.593593
336,93,1,NO,0.57,18,2025-11-18T06:34:03.593593
337,141,2,YES,0.92,25,2025-11-16T15:33:03.593593
338,34,5,NO,0.42,17,2025-11-18T00:00:03.593593
339,45,7,YES,0.72,21,2025-11-19T02:23:03.593593
340,139,8,YES,0.77,1,2025-11-17T07:53:03.593593
341,35,2,NO,0.28,1,2025-11-18T01:17:03.593593
342,30,2,NO,0.1,24,2025-11-18T16:11:03.593593
343,149,10,NO,0.94,21,2025-11-18T15:42:03.593593
344,213,8,NO,0.17,6,2025-11-16T18:21:03.593593
345,263,1,YES,0.21,2,2025-11-16T17:04:03.593593
346,289,2,YES,0.37,12,2025-11-18T10:02:03.593593
347,64,2,YES,0.76,19,2025-11-17T15:25:03.593593
348,191,4,NO,0.61,1,2025-11-16T15:19:03.593593
349,169,3,NO,0.07,16,2025-11-16T14:25:03.593593
350,176,4,YES,0.67,13,2025-11-18T10:35:03.593593
351,219,5,YES,0.18,11,2025-11-17T00:32:03.593593
352,109,2,YES,0.72,18,2025-11-18T15:49:03.593593
353,96,10,YES,0.26,16,2025-11-17T07:56:03.593593
354,280,2,NO,0.38,6,2025-11-18T01:54:03.593593
355,162,9,YES,0.73,5,2025-11-17T14:05:03.593593
356,17,10,NO,0.91,21,2025-11-19T03:40:03.593593
357,112,9,NO,0.67,23,2025-11-17T09:39:03.593593
358,21,9,NO,0.16,12,2025-11-18T02:26:03.593593
359,82,2,NO,0.13,9,2025-11-19T03:06:03.593593
360,106,10,NO,0.45,10,2025-11-18T13:18:03.593593
361,7,4,YES,0.35,2,2025-11-19T03:50:03.593593
362,16,8,NO,0.09,17,2025-11-18T13:36:03.593593
363,206,4,YES,0.71,10,2025-11-16T22:46:03.593593
364,40,10,YES,0.77,15,2025-11-18T23:11:03.593593
365,121,10,YES,0.08,24,2025-11-17T23:12:03.593593
366,79,10,YES,0.26,19,2025-11-18T18:54:03.593593
367,182,6,NO,0.84,19,2025-11-19T01:30:03.593593
368,5,9,YES,0.19,18,2025-11-19T08:21:03.593593
369,182,10,YES,0.18,24,2025-11-17T13:43:03.593593
370,139,10,NO,0.8,14,2025-11-18T20:39:03.593593
371,196,7,YES,0.57,6,2025-11-18T02:03:03.593593
372,211,7,YES,0.08,19,2025-11-18T17:16:03.593593
373,71,7,YES,0.74,5,2025-11-19T13:34:03.593593
374,64,9,NO,0.08,2,2025-11-16T22:14:03.593593
375,62,7,YES,0.87,22,2025-11-19T00:15:03.593593
376,37,1,NO,0.44,2,2025-11-18T14:30:03.593593
377,108,3,YES,0.7,14,2025-11-17T13:12:03.593593
378,185,1,YES,0.22,2,2025-11-18T03:28:03.593593
379,216,5,YES,0.72,14,2025-11-17T00:18:03.593593
380,13,1,NO,0.52,18,2025-11-19T06:54:03.593593
381,143,9,NO,0.23,8,2025-11-19T01:47:03.593593
382,145,8,NO,0.83,9,2025-11-16T19:41:03.593593
383,244,1,YES,0.34,8,2025-11-17T04:13:03.593593
384,7,6,NO,0.82,2,2025-11-18T12:49:03.593593
385,11,10,NO,0.09,5,2025-11-17T04:15:03.593593
386,83,6,YES,0.86,4,2025-11-19T03:00:03.593593
387,259,7,YES,0.81,25,2025-11-16T17:05:03.593593
388,25,2,NO,0.5,22,2025-11-17T05:31:03.593593
389,80,5,NO,0.17,18,2025-11-19T00:40:03.593593
390,244,1,YES,0.14,5,2025-11-18T19:09:03.593593
391,187,6,YES,0.23,3,2025-11-17T13:29:03.593593
392,298,6,YES,0.23,2,2025-11-19T08:57:03.593593
393,238,2,NO,0.57,16,2025-11-17T04:29:03.593593
394,184,4,YES,0.19,10,2025-11-17T04:27:03.593593
395,154,4,YES,0.35,21,2025-11-19T09:08:03.593593
396,286,7,YES,0.85,18,2025-11-18T13:10:03.593593
397,248,10,YES,0.09,7,2025-11-19T12:59:03.593593
398,120,4,YES,0.07,6,2025-11-17T05:37:03.593593
399,117,10,YES,0.14,2,2025-11-19T07:15:03.593593
400,120,3,NO,0.16,19,2025-11-17T21:49:03.593593
401,262,6,NO,0.56,9,2025-11-17T17:03:03.593593
402,241,7,NO,0.31,23,2025-11-17T10:48:03.593593
403,108,7,YES,0.89,13,2025-11-17T23:08:03.593593
404,49,8,NO,0.28,16,2025-11-17T00:42:03.593593
405,39,3,YES,0.61,9,2025-11-17T19:50:03.593593
406,31,3,NO,0.23,5,2025-11-17T19:55:03.593593
407,171,5,YES,0.07,16,2025-11-18T14:23:03.593593
408,16,7,NO,0.47,5,2025-11-16T17:32:03.593593
409,27,10,YES,0.4,23,2025-11-18T03:02:03.593593
410,220,7,YES,0.52,13,2025-11-16T21:58:03.593593
411,290,7,NO,0.35,25,2025-11-16T20:20:03.593593
412,299,6,YES,0.5,13,2025-11-17T17:43:03.593593
413,232,1,NO,0.94,6,2025-11-17T11:20:03.593593
414,267,4,YES,0.46,9,2025-11-17T18:21:03.593593
415,221,2,YES,0.27,22,2025-11-19T00:11:03.593593
416,52,9,NO,0.06,9,2025-11-16T18:34:03.593593
417,120,4,YES,0.3,3,2025-11-18T03:19:03.593593
418,173,1,YES,0.6,17,2025-11-18T05:44:03.593593
419,152,1,YES,0.6,3,2025-11-16T19:14:03.593593
420,11,3,NO,0.06,11,2025-11-18T00:47:03.593593
421,266,8,NO,0.78,21,2025-11-17T23:43:03.593593
422,5,1,NO,0.44,17,2025-11-19T04:16:03.593593
423,244,7,NO,0.1,13,2025-11-17T12:19:03.593593
424,102,5,YES,0.59,23,2025-11-19T04:52:03.593593
425,252,8,YES,0.12,21,2025-11-17T03:37:03.593593
426,31,4,NO,0.64,4,2025-11-17T06:27:03.593593
427,185,1,NO,0.13,19,2025-11-18T20:13:03.593593
428,29,6,NO,0.51,21,2025-11-17T20:21:03.593593
429,159,1,YES,0.34,24,2025-11-19T07:45:03.593593
430,57,6,YES,0.83,8,2025-11-19T08:12:03.593593
431,264,10,YES,0.27,17,2025-11-16T18:12:03.593593
432,69,8,YES,0.21,17,2025-11-19T00:59:03.593593
433,99,2,YES,0.41,12,2025-11-18T14:10:03.593593
434,119,2,YES,0.24,16,2025-11-17T06:05:03.593593
435,46,8,NO,0.9,21,2025-11-16T14:08:03.593593
436,47,9,NO,0.13,24,2025-11-16T19:26:03.593593
437,31,9,NO,0.54,13,2025-11-18T17:27:03.593593
438,101,10,YES,0.58,17,2025-11-17T19:10:03.593593
439,155,4,YES,0.69,24,2025-11-17T05:56:03.593593
440,174,7,YES,0.44,3,2025-11-19T07:31:03.593593
441,69,8,NO,0.37,17,2025-11-19T03:28:03.593593
442,212,2,YES,0.09,10,2025-11-18T13:58:03.593593
443,251,9,NO,0.94,1,2025-11-18T18:08:03.593593
444,148,10,YES,0.07,9,2025-11-18T18:41:03.593593
445,143,8,YES,0.86,21,2025-11-19T11:58:03.593593
446,158,10,NO,0.14,15,2025-11-18T00:17:03.593593
447,223,7,YES,0.55,11,2025-11-16T14:45:03.593593
448,40,6,NO,0.73,16,2025-11-17T04:40:03.593593
449,166,5,NO,0.85,7,2025-11-17T16:50:03.593593
